"REGION","YEAR","EVENT_TYPE","FATALITIES","INJURIES","DAMAGE_PROPERTY","DAMAGE_CROP"
"SOUTH",1996,"DROUGHT",0,0,0,4e+06
"SOUTHWEST",1996,"DROUGHT",0,0,135400000,500080000
"MID-ATLANTIC",1997,"DROUGHT",0,0,0,131250000
"NORTHEAST",1997,"DROUGHT",0,0,0,2e+05
"SOUTHEAST",1997,"DROUGHT",0,0,0,66540000
"SOUTHWEST",1997,"DROUGHT",0,0,2.4e+07,5.5e+07
"CENTRAL",1998,"DROUGHT",0,0,0,5e+08
"MID-ATLANTIC",1998,"DROUGHT",0,0,0,96266000
"SOUTH",1998,"DROUGHT",0,0,0,230480000
"SOUTHEAST",1998,"DROUGHT",0,0,0,25000
"SOUTHWEST",1998,"DROUGHT",0,0,4e+07,1315200000
"CENTRAL",1999,"DROUGHT",0,0,55000,310580000
"MID-ATLANTIC",1999,"DROUGHT",0,0,0,795760000
"NORTHEAST",1999,"DROUGHT",0,0,0,5e+07
"NORTHWEST",1999,"DROUGHT",0,0,0,22600000
"SOUTH",1999,"DROUGHT",0,0,0,1.54e+08
"CENTRAL",2000,"DROUGHT",0,0,0,1012730000
"SOUTH",2000,"DROUGHT",0,0,0,350450000
"SOUTHEAST",2000,"DROUGHT",0,0,0,306720000
"SOUTHWEST",2000,"DROUGHT",0,0,688000,768200000
"CENTRAL",2001,"DROUGHT",0,0,0,728850000
"SOUTHEAST",2001,"DROUGHT",0,0,0,1e+08
"SOUTHWEST",2001,"DROUGHT",0,0,0,445010000
"CENTRAL",2002,"DROUGHT",0,0,0,667434000
"SOUTH",2002,"DROUGHT",0,0,0,7e+07
"CENTRAL",2003,"DROUGHT",0,0,645150000,332480000
"SOUTHWEST",2003,"DROUGHT",0,0,0,2.4e+08
"NORTHWEST",2004,"DROUGHT",0,0,0,990000
"SOUTH",2004,"DROUGHT",0,0,0,2e+05
"CENTRAL",2005,"DROUGHT",0,0,10054000,481080000
"NORTHWEST",2005,"DROUGHT",0,0,1.2e+07,0
"SOUTHWEST",2005,"DROUGHT",0,0,50360000,8.3e+08
"CENTRAL",2006,"DROUGHT",0,4,21740000,162500000
"SOUTH",2006,"DROUGHT",0,0,0,6e+05
"SOUTHWEST",2006,"DROUGHT",0,0,100565000,2212725000
"CENTRAL",2007,"DROUGHT",0,0,775000,6750000
"MID-ATLANTIC",2007,"DROUGHT",0,0,0,20242000
"SOUTH",2007,"DROUGHT",0,0,50000,2800000
"SOUTHEAST",2007,"DROUGHT",0,0,0,3.44e+08
"SOUTHWEST",2007,"DROUGHT",0,0,0,60000
"CENTRAL",2008,"DROUGHT",0,0,1e+05,0
"SOUTHWEST",2008,"DROUGHT",0,0,0,545000
"CENTRAL",2009,"DROUGHT",0,0,0,46000
"SOUTHWEST",2009,"DROUGHT",0,0,50000,13892000
"CENTRAL",2010,"DROUGHT",0,0,0,1650000
"SOUTH",2010,"DROUGHT",0,0,0,4100000
"SOUTHWEST",2010,"DROUGHT",0,0,0,57000
"CENTRAL",2011,"DROUGHT",0,0,1e+05,24105000
"SOUTHWEST",2011,"DROUGHT",0,0,14000,7169000
"CENTRAL",1996,"FLOOD",23,12,233349700,293998000
